Episode ID,Title,Link
S01E01,Pilot,https://mega.nz/#!nyBVUSTY!vgNoJp9OMA19tWCc74wnOxQXMJFg3bDFD3BNUQ2WxAs
S01E02,Traces to Nowhere,https://mega.nz/#!fqAxQYbT!q2BRnZeu-IGPZZCn_KyJIRcyzg-2oV8Y3Ag9pKRrNik
S01E03,"Zen, or the Skill to Catch a Killer ",https://mega.nz/#!3jRR0SAA!V2z9ulvRdrjCcvLwTOnPN3YLmMdw4DGz-xBXQm40bQw
S01E04,Rest in Pain,https://mega.nz/#!HzR1laKD!KjK_JvNhf9aywzpLwxm_LAHwlZeAxirjLoY72aFJIcc
S01E05,The One-Armed Man,https://mega.nz/#!q6RT2aZK!LWY8hImWG18tkmi4M9LF2sZd14DPgQf9K3aTb4vgW58
S01E06,Cooper's Dreams,https://mega.nz/#!i7ZnwCwL!5X5I9Ur8OJVywKUq61rgwisjPHe3XyseuqE5AVzpszQ
S01E07,Realization Time,https://mega.nz/#!nmAxkKzI!EDOWkhlM2Ql5pHWuHwcsmnYz-pnXGP0JppOApaBlYL0
S01E08,The Last Evening,https://mega.nz/#!amYByKab!Chfn-G0NLmobmUbZdNvwkpU8y93AMNAE2uWBkw5ESKs
S02E01,May the Giant Be with You,https://mega.nz/#!jzQTmYQK!n9alizxuTw1Vg5yCAHxcfGeHcG0IqJJh5EW1wHCfxlI
S02E02,Coma,https://mega.nz/#!z7JBWQwD!STox9H7Yk3pCTy6oX7VCUl6zdU6bF_wq83ZyPRkOudw
S02E03,The Man Behind the Glass,https://mega.nz/#!CmZRkSwQ!KkR1jYv1bQ-m-hiDM0nDsBj_Q8ysVQquqK078pQFE84
S02E04,Laura's Secret Diary,https://mega.nz/#!P3RnHIRb!x3QjHuc3fmKGM_s_Pqz5EKh_0sJ5R3VOQiRjmFCqj7w
S02E05,The Orchid's Curse,https://mega.nz/#!OyAVhIIK!m7xJT_Df6KpGpLb879l5pVeUmNuqWEMfF20iUHejQUw
S02E06,Demons,https://mega.nz/#!6iJDDSCZ!gqSIrnc8HqUomeodMJQe2bDUODRURBmvtBpuXZBx2mg
S02E07,Lonely Souls,https://mega.nz/#!muYXjASB!1xbILJE98fLr2O_6GdH2vTo_NlGRkXqtyufMZAKbJ5U
S02E08,Drive with a Dead Girl,https://mega.nz/#!LjZB2aIR!EQTQkVFkatIgr-mUzVP8icz5kpgc1lMPIAI9ZDqnno4
S02E09,Arbitrary Law,https://mega.nz/#!2mQ1kaKC!_6mIkKixWRrAkAlIEcZ3yu0UiA-z_I8ZBpGwm3BAkWw
S02E10,Dispute Between Brothers,https://mega.nz/#!fyAjzSwa!gvWBlwQVX9rJ1-2KLpWs7o4sl9A4FV40cF4jgiQpf2Y
S02E11,Masked Ball,https://mega.nz/#!jjQzkKqC!nq1sFU76JpW1F0CHxD0LzAioYfszxtzn0I8dH3MXS4A
S02E12,The Black Widow,https://mega.nz/#!7rZ3hIgY!ckn6XM6bxMfJEYY10ehtZjTZ4kEZUr5qBavrtWP-oVw
S02E13,Checkmate,https://mega.nz/#!77IBHISI!2YnpB6VXPT1eGYYlpp3NTm2_obwyx_NECi09CrsfkDQ
S02E14,Double Play,https://mega.nz/#!b7Q3VYiY!XoOPL7i3gtSb9qAxzhbyyBtwfNq5eK6K1EGoU-h5nhg
S02E15,Slaves and Masters,https://mega.nz/#!nrZxlaJJ!z2VCWyhb46nEeKVRl9Z0K0jVyrpWh1CP4EHZRVT1cqE
S02E16,The Condemned Woman,https://mega.nz/#!S2JTBAbS!Wblz2e5_2zeBCV8AnuKiGSfyRMh_NACkjNq-eGQIY30
S02E17,Wounds and Scars,https://mega.nz/#!mnB31QqT!LnZOqD8gobA5uzHibsv8v-ctnCO7ak6vsFJ9A4JyxM0
S02E18,On the Wings of Love,https://mega.nz/#!DmJjxAKQ!xIfsHGGIJ0dhFKEFH8KEza-eKSeqVkTRxNv_AiDKySE
S02E19,Variations and Relations,https://mega.nz/#!nuZn2SIJ!Rn9nAz7tnHk49sKpHPyGOLZmMXd6qrxZx7n5shiTGvI
S02E20,The Path to the Black Lodge,https://mega.nz/#!7vA3FAZC!SHBeCjuv0HruzDMP1kOrTI-FE2s7abqOlDWbJVBLbY8
S02E21,Miss Twin Peaks,https://mega.nz/#!GyIXTaoQ!o78r3HpRoXY92Opw7esqIbA-uttZGOFI2Xm1h_4HL0k
S02E22,Beyond Life and Death,https://mega.nz/#!y6B1DCqC!H8e3WVMhdD1_BLd6_cX4OEpznC6jGCi2Pij8MWYfKEs
S03E01,Part 1: My Log Has a Message for You,https://mega.nz/#!m6IRSYIQ!kFQEQPx5n508kaeGeaNNF0uHk4OoJd69V_u5OB8ErW4
S03E02,Part 2: The Stars Turn and a Time Presents Itself,https://mega.nz/#!GiJzRQwA!aKaKicVcN9wsm6j3XntHqBZktiBWOp81f58MPU4SIYU
S03E03,Part 3: Call For Help,https://mega.nz/#!jiYlxSYZ!VdMmZ5Op6FVSUmD0x8dnkeQ_wVAknvYtvdu9r5fVpbc
S03E04,Part 4: ...Brings Back Some Memories,https://mega.nz/#!TnYFWQwC!V2xf6Ph80PCDVz5anjch5d1Hq7F0QsOuBCizrTFFFqI
S03E05,Part 5: Case Files,https://mega.nz/#!CqJjiQID!32tm4mf2MbHoFb-GwsZEBuh5LAAfBaukqhP0N3l0lJo
S03E06,Part 6: Don't Die,https://mega.nz/#!TiQ3EKLS!DuJZFcd3km4piRugRbNp5vxuIqH5RA3e0MI-heu_vxQ
S03E07,Part 7: There's a Body All Right,https://mega.nz/#!6nIhnKgY!e68lnzShEKUMNDLBcYM3CaIOA5ASE6ivG8fC18yGclo
S03E08,Part 8: Gotta Light?,https://mega.nz/#!qmRxFQDJ!hKyIXjIjzWQTo8S8OGJ27XRbmh-NHDAIeJVPjYA6nC0
S03E09,Part 9: This is the Chair,https://mega.nz/#!u2RTlKQb!Hwrc1rDok6Xa60n3OGHJfqLuRq4wG183FlA0cGq8sdk
S03E10,Part 10: Laura is the One,https://mega.nz/#!P6JlSaIT!CCZo6fqlOk3hKKmfQQEyPDcECOVKfm4puzOBiABCaRo
S03E11,Part 11: There's Fire Where You Are Going,https://mega.nz/#!b2YV1A6C!M7E4XgRRUCWgaKEoZUJV_ZoOETaIht7st0jXBKcHq94
S03E12,Part 12: Let's Rock,https://mega.nz/#!mag0wKBR!jhYY8ExMRKgkhk5y-pNRuSAkU_kdJCU6NKY1iDhwLyo
S03E13,"Part 13: What Story is That, Charlie? ",https://mega.nz/#!PCxmBAAY!hF-7ZQXKF5ZKafKhmcFYyIgGPlmqUFQD0S41K2MUblg
S03E14,Part 14: We Are Like the Dreamer,https://mega.nz/#!3OwilIaL!lLrnpskRN4sJ7IigQcw2ZTTP45AZJec4761UsCUOdP0
S03E15,Part 15: There's Some Fear in Letting Go,https://mega.nz/#!CT4iAIyA!40pxk-bCCOIEBoJaz0Np329FqJu87yHKDd6FgOmksUI
S03E16,"Part 16: No Knock, No Doorbell ",https://mega.nz/#!PGwWAYQD!mJ-p4b8sHFKErnk_JxoQVFisCUk73c64Tm9YXjVc8rg
S03E17,Part 17: The Past Dictates the Future,https://mega.nz/#!OTxClSLY!TeGQyfgQEe1hpNwPfpScLZLwgpRXFNcrakRXW4tQAZM
S03E18,Part 18: What is Your Name?,https://mega.nz/#!KL4iTIZY!fc9BjUEvgNKbXAKq_9YXzy0zSaaigLbwbu_WnqzXfBA